latitude,longitude,altitude,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,lidar_distance,speed,obstacle_detected
29.033867,-93.255394,218.58965,0.18724683,0.75529647,-0.760293,14.065738,11.32258,-77.677895,38.568153,14.1983595,False
29.646652,-95.14989,230.4018,0.1936579,0.7257246,-0.6693995,0.97562873,9.150772,-74.83794,39.538593,14.419122,False
31.749264,-106.827065,180.36469,0.30639696,1.2177486,-1.8391548,170.52751,42.482353,-143.04482,42.491276,15.733598,False
37.706886,-122.13934,349.5863,0.3147418,0.5732411,-0.06516716,-85.49276,-3.115643,-68.6403,52.154423,17.545996,False
35.28672,-116.59342,269.09195,0.32393777,0.91127,-0.9771247,46.366302,20.706722,-108.99613,48.1826,16.882795,False
45.773712,-152.71585,406.55966,0.49942407,0.8279388,-0.47856775,-24.446756,12.675573,-116.08718,64.52443,21.059635,False
24.032318,-77.722855,123.397224,0.1337482,0.9887309,-1.4822344,118.02089,28.500116,-99.80839,30.652456,12.389,False
33.874413,-116.81109,346.83527,-0.5631931,0.76273227,-0.23133454,-62.540047,-3.1267734,-10.082388,48.12529,15.996299,False
33.732113,-125.222885,377.68167,-0.40257162,-0.08811236,-0.10992977,-21.034496,2.9366167,64.26841,49.878315,17.781445,False
38.672997,-130.83641,392.7033,-0.672557,1.2062982,-0.20438108,-93.66602,-6.0912714,-47.401867,54.929626,17.09221,False
43.904285,-157.7206,442.15976,-0.10341048,0.16753983,0.31250545,8.067221,-2.2266865,107.01181,65.55101,20.105328,False
35.961292,-127.33281,350.2372,-0.16453493,0.2140307,0.091007024,7.0733795,-1.9958656,85.8107,52.548832,16.949575,False
51.33972,-173.71219,425.2315,0.37862512,0.7389649,0.78656125,62.350487,-11.882341,156.33641,75.81858,19.731129,False
37.519394,-120.0882,201.53462,-0.020725101,0.4257873,0.12217477,90.96477,-14.953645,135.41516,51.24847,16.443089,False
33.619926,-108.17702,293.99844,0.2484075,0.61888766,-0.29237428,-53.124805,0.92154986,-67.611084,45.777443,15.930626,False
15.476775,-45.382645,61.421497,-0.06054139,0.72874427,-1.0691284,56.94937,12.450683,-50.822174,17.52666,8.672065,False
18.194855,-53.25811,123.04006,-0.041539162,0.53726065,-0.51524425,-22.962162,-1.3378973,-30.282806,21.869066,9.594393,False
25.272736,-78.249245,205.13292,0.08778778,0.5508723,-0.35337296,-45.442394,-1.9442787,-44.270332,32.85455,12.479317,False
30.218903,-101.05871,169.07994,0.2733549,1.1710553,-1.766776,160.12708,39.714725,-134.48366,40.1474,15.071421,False
24.703148,-82.39451,204.50586,-0.18748397,0.3721479,-0.18291739,13.6662245,-3.0844183,60.181957,33.834507,11.977568,False
32.063274,-107.99729,182.62964,0.30839446,1.2324508,-1.8603834,172.61227,43.02918,-144.74883,42.956654,15.865116,False
25.697739,-80.47936,97.41744,-0.3794875,0.11454089,-0.39832208,71.90466,-11.046426,93.95686,32.317875,13.822131,False
40.77177,-150.68416,446.8175,-0.29628795,-0.05841002,0.11917436,-13.520374,1.6144278,86.939705,61.17955,20.183006,False
20.832417,-63.228924,71.59066,-0.3570729,0.21964306,-0.46467593,56.40267,-8.902822,73.00817,25.173635,11.451067,False
44.28735,-149.36063,356.23532,0.5059704,1.0413394,-1.0531622,58.63913,27.706348,-141.63666,62.08144,20.657791,False
17.780544,-58.449085,151.68967,-0.39826173,0.34946895,-0.4784645,-10.200523,-0.8485693,21.135866,22.797064,9.9893675,False
43.317333,-147.70995,449.13315,-0.71958756,1.3225737,-0.13264033,-108.62484,-6.7273445,-56.148697,62.245758,18.832176,False
46.05786,-153.77055,408.95596,0.5055335,0.8343619,-0.4867557,-23.21909,13.056335,-117.423004,64.96174,21.180996,False
32.998146,-120.45478,352.80673,-0.33940363,0.01124787,-0.08708647,-12.395394,1.4692025,67.349686,48.379833,16.963705,False
36.188576,-122.13735,363.71088,-0.6415602,1.1130719,-0.23823056,-84.15986,-5.529556,-40.00807,51.088425,16.228807,False
13.985258,-38.33466,75.260826,-0.119522214,0.52233016,-0.5944271,-12.069207,-1.4483759,-21.063143,15.339698,7.872121,False
43.538097,-161.48105,499.13107,-0.49062705,0.097437315,0.050299674,-49.715256,2.021084,51.040066,65.4654,21.58522,False
52.391644,-181.03972,396.68524,0.7086253,1.406955,-1.7427925,159.73338,51.13334,-203.75908,74.4399,24.29129,False
38.81414,-144.52515,435.16226,-0.35672998,-0.112647995,0.036095798,-19.464546,2.6796567,78.565544,58.178394,19.76077,False
